file,variable,manuscript_label,source,source_vintage,reference_period,unit,transformation_or_construction,imputation_documentation,source_note
analysis_data.csv,exp,Healthcare expenditures,OECD Health Statistics,2025,2022 or nearest,constant PPP-adjusted USD per capita,None,"Mean imputation where missing; affected observations identified in Supplementary Table 1",Supplementary Table 1 footnote
analysis_data.csv,hospbeds,Hospital-bed density,OECD Health Statistics,2025,2022 or nearest,per 1000 population,None,"Mean imputation where missing; affected observations identified in Supplementary Table 1",Supplementary Table 1 footnote
analysis_data.csv,GPs,General-practitioner density,OECD Health Statistics,2025,2022 or nearest,per 1000 population,None,"Mean imputation where missing; affected observations identified in Supplementary Table 1",Supplementary Table 1 footnote
analysis_data.csv,epa,Digital Health Infrastructure Index,European Commission,2023,2022 or nearest,index 0-100,Original reporting scale,"Mean imputation where missing; affected observations identified in Supplementary Table 1",Supplementary Table 1 footnote
analysis_data.csv,epa_inv,Inverted Digital Health Infrastructure Index,Derived from European Commission indicator,2023,2022 or nearest,strictly positive transformed index,max(epa)-epa+1,Not applicable,Transformation reported in manuscript and verified by code
analysis_data.csv,diab,Avoidable diabetes-related hospital admissions,OECD Health Statistics,2025,2022 or nearest,per 100000 population,Original scale; undesirable intermediate,"Mean imputation where missing; affected observations identified in Supplementary Table 1",Supplementary Table 1 footnote
analysis_data.csv,beddays_imp,Bed-days,OECD Health Statistics,2025,2022 or nearest,days per capita,None,"Mean imputation where missing; affected observations identified in Supplementary Table 1",Supplementary Table 1 footnote
analysis_data.csv,consult_imp,Physician consultations,OECD Health Statistics,2025,2022 or nearest,visits per capita,None,"Mean imputation where missing; affected observations identified in Supplementary Table 1",Supplementary Table 1 footnote
analysis_data.csv,treatmort,Treatable mortality,OECD Health Statistics,2025,2022 or nearest,per 100000 population,Original reporting scale,"Mean imputation where missing; affected observations identified in Supplementary Table 1",Supplementary Table 1 footnote
analysis_data.csv,treatmort_inv,Inverted treatable mortality,Derived from OECD indicator,2025,2022 or nearest,strictly positive transformed rate,max(treatmort)-treatmort+1,Not applicable,Transformation reported in manuscript and verified by code
analysis_data.csv,SAH,Self-assessed health in lowest-income quintile,OECD Health Statistics / Eurostat Database,2025,2022 or nearest,percent reporting very good or excellent health,None,"Mean imputation where missing; affected observations identified in Supplementary Table 1",Supplementary Table 1 footnotes
context_data.csv,elderly_pop,Population aged 65 years or older,OECD historical population data,2025,Manuscript reference year,percent,None,No additional imputation documented,Supplementary Table 2 footnote 1
context_data.csv,gini,Gini coefficient,OECD Income Distribution Database,2025,Manuscript reference year,coefficient 0-1,None,No additional imputation documented,Supplementary Table 2 footnote 1
context_data.csv,rural_pop,Rural population,OECD demographic indicators by urban-rural typology,2025,Manuscript reference year,percent,None,No additional imputation documented,Supplementary Table 2 footnote 1
context_data.csv,gdp_cap,GDP per capita,OECD Data,2025,Manuscript reference year,PPP-adjusted USD per capita,None,No additional imputation documented,Supplementary Table 2 footnote 1
context_data.csv,prev_index,Prevention Index,WHO Noncommunicable Diseases Progress Monitor,2025,2023,index 0-100,"Arithmetic mean within tobacco, alcohol, and unhealthy-diet categories, followed by the mean of the three category means",No additional imputation documented,Supplementary Table 2 footnote 2
context_data.csv,hcs_type,Health-system type,Bohm et al.,2013,Classification,nominal categories 1-5,"Codes: 1 NHS; 2 NHI; 3 SHI; 4 etatist SHI; 5 social-based mixed type",No additional imputation documented,Supplementary Table 2 footnote 3; additional countries classified analogously as documented in supplement
